julian_day,temperature
2442675,1361.0953 
2442676,1361.0634 
2442677,1361.0820 
2442678,1361.0854 
2442679,1361.1012 
2442680,1361.1022 
2442681,1361.1022 
2442682,1361.1022 
2442683,1361.0923 
2442684,1361.0895 
2442685,1361.0924 
2442686,1361.0790 
2442687,1361.0774 
2442688,1361.0767 
2442689,1361.0552 
2442690,1361.0423 
2442691,1361.0253 
2442692,1361.0147 
2442693,1361.0166 
2442694,1361.0065 
2442695,1361.0220 
2442696,1361.0342 
2442697,1361.0005 
2442698,1361.0665 
2442699,1361.0547 
2442700,1360.9095 
2442701,1360.8890 
2442702,1360.9582 
2442703,1360.9967 
2442704,1361.0019 
2442705,1361.0369 
2442706,1361.0629 
2442707,1361.0793 
2442708,1361.0726 
2442709,1361.0629 
2442710,1361.0240 
2442711,1361.0430 
2442712,1361.0430 
2442713,1361.0430 
2442714,1361.0332 
2442715,1361.0331 
2442716,1361.0232 
2442717,1361.0232 
2442718,1361.0233 
2442719,1361.0332 
2442720,1361.0568 
2442721,1361.0392 
2442722,1361.1014 
2442723,1361.0170 
2442724,1361.0278 
2442725,1361.0100 
2442726,1361.0413 
2442727,1361.0451 
2442728,1361.1270 
2442729,1361.0826 
2442730,1361.2013 
2442731,1361.0362 
2442732,1361.0012 
2442733,1360.9724 
2442734,1360.8331 
2442735,1360.8881 
2442736,1360.8177 
2442737,1360.8768 
2442738,1360.8846 
2442739,1360.9195 
2442740,1360.9427 
2442741,1361.0704 
2442742,1361.0058 
2442743,1360.9969 
2442744,1361.0135 
2442745,1361.0135 
2442746,1361.0038 
2442747,1361.0135 
2442748,1360.9948 
2442749,1360.9620 
2442750,1360.9472 
2442751,1360.9778 
2442752,1360.9978 
2442753,1360.9836 
2442754,1361.0103 
2442755,1361.0185 
2442756,1361.0357 
2442757,1361.0432 
2442758,1361.0433 
2442759,1361.0432 
2442760,1361.0285 
2442761,1361.0042 
2442762,1361.0033 
2442763,1361.0028 
2442764,1360.9910 
2442765,1360.9903 
2442766,1360.9905 
2442767,1360.9939 
2442768,1360.9840 
2442769,1360.9840 
2442770,1360.9939 
2442771,1360.9759 
2442772,1360.9885 
2442773,1360.9987 
2442774,1361.0040 
2442775,1361.0039 
2442776,1361.0040 
2442777,1361.0039 
2442778,1360.9942 
2442779,1360.9942 
2442780,1360.9843 
2442781,1360.9843 
2442782,1360.9844 
2442783,1360.9844 
2442784,1360.9844 
2442785,1360.9844 
2442786,1360.9745 
2442787,1360.9743 
2442788,1360.9744 
2442789,1360.9942 
2442790,1360.9961 
2442791,1360.9242 
2442792,1360.8398 
2442793,1360.8190 
2442794,1360.8253 
2442795,1360.8359 
2442796,1360.8143 
2442797,1360.8825 
2442798,1360.8645 
2442799,1360.9215 
2442800,1360.8966 
2442801,1360.9326 
2442802,1360.9417 
2442803,1360.9024 
2442804,1360.9409 
2442805,1360.9288 
2442806,1361.0022 
2442807,1361.0018 
2442808,1360.9256 
2442809,1360.9651 
2442810,1361.0552 
2442811,1360.9431 
2442812,1360.9333 
2442813,1360.9333 
2442814,1360.9332 
2442815,1360.9333 
2442816,1360.9432 
2442817,1360.9431 
2442818,1360.9431 
2442819,1360.9431 
2442820,1360.9431 
2442821,1360.9528 
2442822,1360.9052 
2442823,1360.9329 
2442824,1360.9318 
2442825,1360.9485 
2442826,1360.9618 
2442827,1360.9671 
2442828,1360.9570 
2442829,1360.9602 
2442830,1360.9614 
2442831,1361.0078 
2442832,1360.9725 
2442833,1360.9628 
2442834,1360.9727 
2442835,1360.9626 
2442836,1360.9488 
2442837,1360.9114 
2442838,1360.9890 
2442839,1360.9528 
2442840,1360.9528 
2442841,1360.9527 
2442842,1360.9527 
2442843,1360.9528 
2442844,1360.9374 
2442845,1360.9385 
2442846,1360.9574 
2442847,1360.9492 
2442848,1360.9490 
2442849,1360.9500 
2442850,1360.9575 
2442851,1360.9587 
2442852,1360.9635 
2442853,1360.9865 
2442854,1361.0094 
2442855,1360.8934 
2442856,1360.8467 
2442857,1360.8337 
2442858,1360.8315 
2442859,1360.7639 
2442860,1360.8840 
2442861,1360.9204 
2442862,1361.0109 
2442863,1360.9944 
2442864,1360.9102 
2442865,1360.7179 
2442866,1360.6165 
2442867,1360.6773 
2442868,1360.6866 
2442869,1360.7133 
2442870,1360.6755 
2442871,1360.7305 
2442872,1360.7881 
2442873,1360.8449 
2442874,1360.9053 
2442875,1360.9797 
2442876,1361.0196 
2442877,1361.0296 
2442878,1360.9794 
2442879,1360.9645 
2442880,1360.9576 
2442881,1360.9274 
2442882,1360.9312 
2442883,1360.8924 
2442884,1360.8973 
2442885,1360.8929 
2442886,1360.9030 
2442887,1360.8939 
2442888,1360.9368 
2442889,1360.9591 
2442890,1360.9871 
2442891,1360.9550 
2442892,1360.9305 
2442893,1360.9046 
2442894,1360.9386 
2442895,1360.8940 
2442896,1360.9124 
2442897,1360.9139 
2442898,1360.8860 
2442899,1360.7863 
2442900,1360.8825 
2442901,1360.9553 
2442902,1360.9850 
2442903,1361.0025 
2442904,1360.9719 
2442905,1360.9590 
2442906,1360.9308 
2442907,1360.9184 
2442908,1360.9200 
2442909,1360.9231 
2442910,1360.9170 
2442911,1360.9223 
2442912,1360.9139 
2442913,1360.9570 
2442914,1360.9769 
2442915,1361.0053 
2442916,1361.0310 
2442917,1361.0270 
2442918,1361.0144 
2442919,1361.0143 
2442920,1361.0030 
2442921,1360.9983 
2442922,1360.9854 
2442923,1360.9765 
2442924,1360.9695 
2442925,1360.9666 
2442926,1360.9597 
2442927,1360.9597 
2442928,1360.9500 
2442929,1360.9500 
2442930,1360.9501 
2442931,1360.9500 
2442932,1360.9402 
2442933,1360.9402 
2442934,1360.9500 
2442935,1360.9501 
2442936,1360.9502 
2442937,1360.9599 
2442938,1360.9445 
2442939,1360.9467 
2442940,1360.9670 
2442941,1360.9387 
2442942,1360.9572 
2442943,1360.9748 
2442944,1360.9776 
